HomeTeam,AwayTeam,MatchTime,HomeWinOdds,DrawOdds,AwayWinOdds,Over2_5GoalsOdds,Under2_5GoalsOdds,HandicapHomeWinOdds,HandicapDrawOdds,HandicapAwayWinOdds,BTTS_YesOdds,BTTS_NoOdds
Athletic Club Bilbao,Mallorca,21:00,0.57,3.0,5.5,1.25,0.65,1.68,2.2,1.48,1.3,0.6
Valenica,Almeria CF,14:00,0.7,3.0,4.0,0.92,0.88,1.85,2.4,1.25,0.9,0.88
Granada,Las Palmas,16:15,1.25,2.3,2.4,1.25,0.65,3.5,2.75,0.68,0.96,0.83
Alaves,Barcelona,18:30,3.0,2.75,0.9,0.85,0.96,0.98,2.6,2.3,0.75,1.05
Girona,Real Sociedad,21:00,2.3,2.5,2.5,1.0,0.83,3.0,2.75,0.75,0.78,1.0
Villarreal,Cadiz,14:00,0.66,1.0666666666666667,4.0,0.83,1.0,1.75,2.5,1.3,0.83,0.98
Osasuna,Celta Vigo,18:30,1.35,2.2,2.3,2.9,0.55,3.95,2.7,0.62,1.05,0.75
Real Betis,Getafe,18:30,0.95,2.4,3.33,1.3,0.63,2.6,2.5,0.92,1.05,0.75
Real Madrid,Atletico Madrid,21:00,0.75,3.0,3.5,0.68,1.2,1.95,2.6,1.15,0.66,1.2
Rayo Vallecano,Sevilla,21:00,1.2,2.4,2.4,1.2,0.68,3.45,2.7,0.68,0.92,0.85
